region_clean,n_wines,lat_mean,lon_mean
macon aze,2,46.41667,4.53333
macon verze,2,46.3826,4.7527
madiran,48,43.57614716328285,-0.046424472032066365
maranges,13,46.88942387048158,4.661764062879198
maranges clos de la boutiere,2,46.908,4.69
maranges clos de la fussiere,2,46.8881,4.6801
maranges la fussiere,9,46.88799999999999,4.6803
maranges le clos des rois,1,46.8985,4.6895
maranges les clos roussots,5,46.8887,4.6799
maranges premier cru,1,46.8945,4.6822
margaux,296,45.031126361371925,-0.6690579596607694
marsannay,75,47.28557554078491,4.986347027985513
maury,20,42.783329999999985,2.6166699999999996
mazoyeres chambertin,5,47.085004,4.96028
medoc,81,45.26666999999998,-0.7833299999999995
menetou salon,15,47.34781999999999,2.36654
mercurey,53,46.83006118750019,4.738212775152298
mercurey clos des grands voyens,1,46.83156,4.7436
mercurey clos des montaigus,1,46.8289,4.7448
mercurey clos du chateau de montaigu,2,46.8332,4.7382
mercurey clos marcilly,3,46.833499999999994,4.7429
mercurey le clos du roy,4,46.8334,4.7446
mercurey le clos l eveque,1,46.83365,4.74296
mercurey les champs martin,1,46.8312,4.743
mercurey les combins,1,46.8273,4.7458
mercurey les crets,3,46.8261,4.7435
mercurey les croichots,1,46.83001,4.74112
mercurey les fourneaux,1,46.82911,4.744
mercurey les naugues,1,46.832,4.7432
mercurey les saumonts,2,46.8284,4.7469
mercurey les vasees,4,46.8268,4.746
mercurey les velley,1,46.83,4.74
mercurey premier cru,4,46.8308,4.7417
mercurey sazenay,3,46.82919999999999,4.7419
meursault,9,46.974,4.7839
minervois,81,43.29984594640925,2.6006523854806414
minervois la liviniere,33,43.20765000000004,2.70654
montagne saint emilion,50,44.94963926938957,-0.10055119619813757
monthelie,24,46.978904120778786,4.768373311775671
monthelie le clos gauthey,1,46.95914,4.77058
monthelie le clou des chenes,1,46.9575,4.769
monthelie le meix bataille,1,46.96121,4.77097
monthelie les champs fulliots,2,46.958,4.771
monthelie les clous,2,46.957,4.768
monthelie les duresses,3,46.9575,4.7748
monthelie les riottes,2,46.95854,4.77338
monthelie premier cru,5,46.96591121910755,4.7692227705145696
monthelie sur la velle,4,46.9608,4.7701
montrachet grand cru,1,46.465539,4.441605
morey saint denis,29,47.199000000000005,4.9507
morey saint denis aux charmes,4,47.196,4.9475
morey saint denis aux cheseaux,1,47.2041,4.9502
morey saint denis clos baulet,1,47.1951,4.9482
morey saint denis clos des ormes,7,47.2045,4.9507
morey saint denis clos sorbe,3,47.1967,4.9504
morey saint denis la riotte,2,47.2010,4.9475
morey saint denis le village,1,47.204,4.9519
morey saint denis les blanchards,1,47.2033,4.9513
morey saint denis les chaffots,1,47.2048,4.9511
morey saint denis les charrieres,3,47.1955,4.9485
morey saint denis les chenevery,2,46.968588,5.054644
morey saint denis les faconnieres,2,47.2026,4.9510
