Winery,Wine,year,vintage_rating,vintage_rating_count,wine_rating_count,wine_rating,region,price,cepages,latitude,longitude,dept,station,altitude,GDD,TM_summer,TX_summer,temp_amp_summer,hot_days,rainy_days_summer,rain_June,rain_SepOct,frost_days_Apr,avg_TM_Apr,dist_km
Thunevin,Présidial Le Coq Bordeaux 2022,2022.0,3.5,667,667,3.5,bordeaux,11.4,cabernet-sauvignon,44.83779,-0.57918,33,33063001,10,2421.0999999999995,25.029032258064518,32.291935483870965,13.583870967741936,17.0,1.0,110.8,82.39999999999999,0.0,13.3,1.5177606121134102
Maison Rivier,Cuvée Madeleine Rouge 2023,2023.0,4.1,164,164,4.1,cotes-du-rhone,11.4,shiraz-syrah,44.25,4.63333,84,84064001,46,2358.0,25.06451612903226,33.75322580645161,16.596774193548388,25.0,1.0,121.39999999999999,153.3,0.0,13.446666666666669,8.084706772366594
Thunevin,Présidial Le Coq Bordeaux 2020,2020.0,3.5,667,667,3.5,bordeaux,11.4,cabernet-sauvignon,44.83779,-0.57918,33,33063001,10,2091.3999999999996,23.14677419354839,29.612903225806456,11.746774193548386,7.0,2.0,51.2,209.49999999999997,0.0,15.95,1.5177606121134102
Domaine des Varinelles,Vignoble Daheuiller Saumur Champigny 2019,2019.0,3.4,32,32,3.4,saumur-champigny,11.4,cabernet-franc,47.25,-0.08333,49,49215002,58,1599.3000000000002,21.82741935483871,28.583870967741937,13.556451612903228,4.0,1.0,39.5,153.5,1.0,11.360000000000001,14.048748160124559
Domaine de Villeneuve,Happy Culteur Pic-Saint-Loup Rouge 2023,2023.0,3.7,1037,1037,3.7,pic-saint-loup,11.4,shiraz-syrah,43.8,3.85,34,34217001,69,2167.75,24.843548387096778,32.32096774193548,15.512903225806452,11.0,0.0,54.199999999999996,170.49999999999997,6.0,13.309999999999999,9.179077098140548
l'Amiral,l’Escale de l’Amiral Grenache 2023,2023.0,3.6,38,38,3.6,vin-de-pays-doc,11.41,grenache-noir,43.61194,3.87722,34,34154001,1,2393.9,25.190322580645162,30.320967741935487,10.201612903225806,2.0,0.0,31.100000000000005,54.3,0.0,14.49,8.088056969397064
Domaine de la Mordorée,Côtes-du-Rhône Rouge 2019,2019.0,3.8,377,377,3.8,cotes-du-rhone,11.44,shiraz-syrah,44.25,4.63333,84,84064001,46,2173.0000000000005,25.150000000000002,33.82096774193548,16.337096774193547,26.0,1.0,25.4,205.79999999999998,0.0,12.543333333333333,8.084706772366594
Aubert et Mathieu,Amy Grenache - Syrah 2023,2023.0,4.0,466,466,4.0,vin-de-pays-doc,11.45,shiraz-syrah,43.61194,3.87722,34,34154001,1,2393.9,25.190322580645162,30.320967741935487,10.201612903225806,2.0,0.0,31.100000000000005,54.3,0.0,14.49,8.088056969397064
Château Troupian,Haut-Médoc 2016,2016.0,4.0,1023,3597,3.8,haut-medoc,11.48,cabernet-sauvignon,45.2,-0.76667,33,33314005,26,1597.1,20.954838709677418,27.24032258064516,12.048387096774194,5.0,0.0,78.4,76.00000000000004,0.0,11.34,2.035540273837088
Semper,Voluptas 2022,2022.0,3.8,243,243,3.8,cotes-du-roussillon,11.5,shiraz-syrah,42.68861,2.89472,66,66136001,42,2669.9,27.335483870967742,32.872580645161285,11.114516129032259,10.0,0.0,10.6,64.00000000000001,0.0,14.619999999999997,5.6877095625503085
Château de Caraguilhes,Corbières 2019,2019.0,3.7,210,2790,3.6,corbieres,11.5,shiraz-syrah,43.08333,2.68333,11,11203004,60,2154.3,25.10806451612903,31.57903225806451,12.033870967741937,8.0,0.0,17.799999999999997,190.99999999999997,0.0,12.749999999999998,10.632680047160013
Gérard Bertrand,Syrah Prima Nature 2022,2022.0,3.6,605,605,3.6,vin-de-pays-doc,11.5,shiraz-syrah,43.61194,3.87722,34,34154001,1,2494.8500000000004,26.55806451612903,32.156451612903226,11.445161290322583,10.0,2.0,8.6,211.1,1.0,13.923333333333336,8.088056969397064
Domaine Fontanel,Initium Côtes du Roussillon Rouge 2020,2020.0,3.9,55,55,3.9,cotes-du-roussillon,11.5,shiraz-syrah,42.68861,2.89472,66,66136001,42,2279.3999999999996,25.21935483870968,30.76774193548387,10.446774193548388,3.0,1.0,22.0,83.4,0.0,14.393103448275863,5.6877095625503085
Castelmaure,La Pompadour Corbières 2022,2022.0,4.0,296,6380,3.9,corbieres,11.5,shiraz-syrah,43.08333,2.68333,11,11203004,60,2557.55,26.48225806451613,33.40806451612903,13.330645161290324,17.0,0.0,44.800000000000004,28.2,0.0,13.419999999999998,10.632680047160013
Domaine Sauvète,Les Gravouilles 2022,2022.0,3.8,327,327,3.8,touraine,11.5,cabernet-sauvignon,47.3,0.7,37,37122001,93,1866.65,22.964516129032255,30.606451612903225,15.093548387096778,7.0,0.0,62.3,109.39999999999999,5.0,11.5,4.071821539557167
Château Pique-Perlou,Batacla Minervois 2022,2022.0,3.8,206,206,3.8,minervois,11.5,shiraz-syrah,43.3,2.6,34,34302001,137,2546.75,26.73709677419355,34.145161290322584,14.446774193548388,28.0,0.0,35.7,76.3,0.0,13.19333333333333,6.7578043402459445
Domaine La Maurerie,Vieilles Vignes Saint-Chinian 2019,2019.0,3.8,103,103,3.8,saint-chinian,11.5,shiraz-syrah,43.43333,2.95,34,34269001,258,2068.5,24.549999999999997,31.41451612903226,12.856451612903227,9.0,3.0,19.8,340.1,0.0,12.173333333333334,9.14978877790992
Château Thieuley,Clos Sainte-Anne Côtes de Bordeaux Rouge 2019,2019.0,3.7,114,114,3.7,cotes-de-bordeaux,11.5,cabernet-sauvignon,44.75,-0.31667,33,33482001,82,1778.9,22.429032258064517,29.358064516129033,13.196774193548388,4.0,2.0,61.39999999999999,136.29999999999998,0.0,12.069999999999999,17.193446440008092
Pin des Marguerites,Tradition Saint-Chinian 2021,2021.0,3.6,141,141,3.6,saint-chinian,11.5,shiraz-syrah,43.43333,2.95,34,34269001,258,1980.5500000000002,22.924193548387095,29.58548387096775,12.630645161290323,5.0,2.0,42.900000000000006,102.5,1.0,11.796666666666669,9.14978877790992
